item_name,2026-02-09 14:15,2026-02-09 15:56,2026-02-09 22:00,2026-02-09 23:56,2026-02-10 02:36,2026-02-10 04:02,2026-02-10 05:43,2026-02-10 07:05,2026-02-10 08:57,2026-02-10 10:04,2026-02-10 11:51,2026-02-10 13:15,2026-02-10 14:59,2026-02-10 16:13,2026-02-10 18:03,2026-02-10 20:00,2026-02-10 20:57,2026-02-11 02:26,2026-02-11 05:03,2026-02-11 07:02,2026-02-11 08:51,2026-02-11 09:55,2026-02-11 10:52,2026-02-11 11:45,2026-02-11 13:12,2026-02-11 14:54,2026-02-11 16:03,2026-02-11 17:56,2026-02-11 19:08,2026-02-11 20:39,2026-02-11 21:34,2026-02-11 22:30,2026-02-11 23:33,2026-02-12 02:13,2026-02-12 04:59,2026-02-12 06:09
유물 각성 각인서,48399,47900,47986,47000,45999,46977,46700,45998,47400,49991,49000,48800,48000,47999,48200,49400,49300,49000,46990,48200,43333,46900,47400,47499,46399,46999,47300,47800,47998,47888,47000,48000,47500,45799,46899,45450
유물 강령술 각인서,155,131,80,73,63,48,30,46,41,100,99,69,44,55,40,40,40,33,19,14,5,8,10,6,14,21,25,25,24,28,28,26,25,18,30,24
유물 강화 방패 각인서,40,14,10,42,38,28,24,24,49,55,19,14,50,45,10,48,47,41,36,19,10,26,22,10,26,44,99,96,87,80,70,59,54,40,48,50
유물 결투의 대가 각인서,30000,30998,30999,30299,27999,29499,31100,29997,30998,30000,31800,30000,30000,30999,30798,30495,30400,29000,29999,30150,30000,31000,30000,31888,30799,31000,31790,30499,34500,33000,33500,31400,30900,30999,31500,30500
유물 구슬동자 각인서,6900,7200,7092,6789,6690,7000,6999,7198,6800,6998,7189,7300,7480,7288,7750,7689,7740,6295,7100,8050,7450,7799,6666,6899,6500,7600,7444,7300,7489,7448,7380,6700,6700,6900,7398,6700
유물 굳은 의지 각인서,15,4,6,17,15,14,4,11,15,23,21,19,7,7,11,10,10,11,10,1,2,14,150,145,70,22,35,19,19,19,18,16,14,5,12,11
유물 급소 타격 각인서,1200,989,1200,996,850,890,900,999,1233,1444,967,950,1090,1400,1380,1263,1050,850,976,960,1009,986,1199,1159,963,1132,1079,999,1000,1119,1000,899,900,850,1132,999
유물 기습의 대가 각인서,65000,63900,64300,64500,64000,63400,63800,64697,64900,64750,64800,66700,66100,64300,64776,64000,64800,64999,63000,62400,63990,63000,64000,68897,66300,64899,64999,64000,64000,64444,64899,62000,64000,63799,63999,61111
유물 긴급구조 각인서,319,290,244,221,230,210,227,200,114,178,151,124,119,116,124,137,135,134,130,77,50,11,50,70,69,125,130,99,99,100,100,98,96,78,137,80
유물 달인의 저력 각인서,90,68,179,160,180,160,150,150,156,139,133,120,95,108,98,111,110,110,28,58,39,79,109,108,90,120,450,280,230,228,220,180,176,177,98,110
유물 돌격대장 각인서,143997,143886,143000,142000,143999,141999,141900,142398,144000,143800,145000,149400,148850,147999,148497,147000,147899,147800,146396,148300,146000,149000,148700,145999,149000,149589,149848,147500,145500,144000,145200,144900,144900,144900,144500,141000
유물 마나 효율 증가 각인서,2900,3200,2990,2799,2945,2898,2700,2680,2960,2790,2777,2999,3080,2888,2899,2800,2790,2600,2299,2592,2300,2679,2786,2540,2300,2222,2490,2390,2430,2444,2645,2400,2670,2298,2600,2100
유물 마나의 흐름 각인서,8666,8442,8299,7788,8170,8200,7777,8230,8129,8000,8000,8100,8749,8399,8888,8800,8799,8499,7800,8144,8000,8000,7700,8100,7588,7999,7650,7648,8090,7899,7898,7600,7100,7598,7600,7275
유물 바리케이드 각인서,4280,4899,4470,4141,3780,3970,4333,4299,4674,4000,4440,4199,3817,3988,3950,4200,4100,4999,4400,5100,5900,6500,5299,4900,4549,4499,4380,4499,4300,4888,4897,4500,4389,4190,4999,4400
유물 번개의 분노 각인서,39,50,40,48,27,28,23,27,28,30,28,30,42,39,43,60,60,58,30,57,40,50,40,35,40,27,29,42,40,38,41,41,46,29,28,38
유물 부러진 뼈 각인서,150,11,82,85,80,39,26,45,40,55,38,20,20,34,36,39,39,43,45,19,20,29,23,21,22,14,11,30,35,30,30,30,29,15,17,16
유물 분쇄의 주먹 각인서,89,68,80,88,84,89,80,80,86,83,42,74,118,108,87,100,98,89,96,87,99,411,200,114,110,117,133,195,191,188,188,180,155,140,80,59
유물 불굴 각인서,21,18,14,18,16,20,19,23,27,30,19,17,21,21,11,10,10,8,58,49,23,29,40,42,48,33,52,73,70,48,47,30,22,9,53,40
유물 선수필승 각인서,300,388,202,222,398,400,422,406,420,397,430,439,422,399,330,365,350,336,390,298,291,217,189,235,242,244,269,200,199,200,247,269,250,277,297,197
유물 속전속결 각인서,2700,2597,2200,2199,1979,2345,1800,1950,2400,2222,2000,2110,2000,2245,2250,2240,2160,9999,11000,9000,7997,7499,8299,9995,6999,4500,6000,7299,6969,7000,6700,6450,5900,4999,6389,5779
유물 슈퍼 차지 각인서,23998,26000,25000,24377,22488,23999,23800,23300,23000,24300,25997,24800,25900,24400,24500,23500,23488,28800,34000,28890,29000,38000,34450,33998,29998,27699,26997,30495,29500,29300,29000,28669,27600,28000,25000,27954
유물 승부사 각인서,280,292,250,247,249,266,287,298,280,288,316,285,270,277,254,260,260,243,230,248,226,140,55,169,196,122,177,187,170,165,199,210,198,198,230,220
유물 시선 집중 각인서,99,90,75,111,125,110,121,148,147,127,200,142,1300,537,476,470,449,119,87,85,69,93,99,115,112,120,128,108,105,100,95,93,84,96,90,90
유물 실드관통 각인서,95,32,15,28,13,11,8,15,11,22,21,12,10,3,6,6,5,4,4,3,4,4,2,1,3,1,4,13,10,9,7,5,3,6,5,8
