item_name,2026-02-22,2026-02-23,2026-02-24,2026-02-25,2026-02-26,2026-02-27,2026-02-28,2026-03-01,2026-03-02,2026-03-03,2026-03-04,2026-03-05,2026-03-06,2026-03-07,2026-03-08,2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13,2026-03-14,2026-03-15,2026-03-16,2026-03-17,2026-03-18,2026-03-19,2026-03-20,2026-03-21,2026-03-22,2026-03-23,2026-03-24,2026-03-25,2026-03-26,2026-03-27,2026-03-28,2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05,2026-04-06,2026-04-07,2026-04-08,2026-04-09,2026-04-10,2026-04-11,2026-04-12,2026-04-13,2026-04-14,2026-04-15,2026-04-16,2026-04-17,2026-04-18,2026-04-19,2026-04-20,2026-04-21,2026-04-22,2026-04-23,2026-04-24,2026-04-25,2026-04-26,2026-04-27,2026-04-28,2026-04-29,2026-04-30,2026-05-01,2026-05-02,2026-05-03,2026-05-04,2026-05-05,2026-05-06,2026-05-07,2026-05-08,2026-05-09,2026-05-10,2026-05-11,2026-05-12,2026-05-13,2026-05-14,2026-05-15,2026-05-16,2026-05-17,2026-05-18,2026-05-19,2026-05-20,2026-05-21,2026-05-22,2026-05-23,2026-05-24,2026-05-25,2026-05-26,2026-05-27,2026-05-28,2026-05-29,2026-05-30,2026-05-31,2026-06-01,2026-06-02,2026-06-03,2026-06-04,2026-06-05,2026-06-06,2026-06-07,2026-06-08,2026-06-09,2026-06-10,2026-06-11,2026-06-12,2026-06-13,2026-06-14,2026-06-15,2026-06-16,2026-06-17,2026-06-18,2026-06-19,2026-06-20,2026-06-21,2026-06-22,2026-06-23,2026-06-24,2026-06-25,2026-06-26,2026-06-27,2026-06-28,2026-06-29,2026-06-30,2026-07-01,2026-07-02,2026-07-03,2026-07-04,2026-07-05,2026-07-06,2026-07-07,2026-07-08,2026-07-09,2026-07-10,2026-07-11,2026-07-12,2026-07-13,2026-07-14,2026-07-15,2026-07-16,2026-07-17,2026-07-18,2026-07-19,2026-07-20,2026-07-21,2026-07-22,2026-07-23,2026-07-24,2026-07-25,2026-07-26,2026-07-27,2026-07-28,2026-07-29,2026-07-30,2026-07-31,2026-08-01,2026-08-02,2026-08-03,2026-08-04,2026-08-05,2026-08-06,2026-08-07,2026-08-08,2026-08-09,2026-08-10,2026-08-11,2026-08-12,2026-08-13,2026-08-14,2026-08-15,2026-08-16,2026-08-17,2026-08-18,2026-08-19,2026-08-20,2026-08-21,2026-08-22,2026-08-23,2026-08-24,2026-08-25,2026-08-26,2026-08-27,2026-08-28,2026-08-29,2026-08-30,2026-08-31,2026-09-01,2026-09-02,2026-09-03,2026-09-04,2026-09-05,2026-09-06,2026-09-07
각성 물약,116224.0,62301,58342,96455,72707,65335,84841,66403,54218,35954,93540,82278,81709,95516,74506,51325.0,33012.0,75495.0,79343.0,77353.0,86134.0,87776.0,70254.0,45289.0,155679.0,121743.0,102630.0,128771.0,116269.0,56830.0,52644.0,112021.0,81715,86400.0,94741.0,86663.0,50191.0,45597.0,110964.0,82177.0,78371.0,98756,55262.0,40615.0,44491.0,91914.0,82274.0,64820.0,64823.0,66790.0,34334.0,35683.0,88129,80996.0,75678.0,82808.0,56872.0,39698.0,38905.0,115719.0,87403.0,102141.0,107753.0,79540.0,53110.0,36009.0,64928.0,67338.0,72569.0,51545.0,54079.0,35787.0,46772.0,91834.0,93875.0,43362.0,64506.0,61545.0,38230.0,38281.0,115767.0,63591.0,54785.0,61583.0,73429.0,67086.0,43462,147116.0,151680,144336,222867,183078.0,161735.0,84083,110810.0,106181.0,111524,148982.0,149114,60618,60938.0,170215.0,86371.0,99537.0,103797.0,114978.0,51119.0,56466.0,97288.0,72129.0,85664.0,88284.0,86410,46175,48733,89541.0,75645.0,68887.0,93858.0,64023.0,40205.0,28596.0,34932.0,69641.0,45165.0,50339.0,64965.0,29263.0,34792.0,48303.0,62251.0,189430.0,112831.0,25930.0,30691.0,18242.0,39495.0,39257.0,37842.0,44132.0,44331.0,25732.0,27238.0,69804.0,66522.0,52305.0,95910.0,106608.0,25279.0,33479.0,66948.0,84251.0,48777.0,67552.0,63455.0,37510.0,50490.0,75718.0,126526.0,65439.0,68068.0,97439.0,73986.0,75708.0,178815.0,149593.0,165549.0,210533.0,151289.0,70823.0,63897.0,83125.0,78017.0,80721.0,89098.0,78495.0,64502.0,33720.0,71204.0,79581.0,87269.0,94861.0,83366.0,48199.0,40504.0,67138.0,76543.0,71127.0,83018.0,80230.0,47131.0,37393.0,98219.0,81339.0,83057.0,86067.0,87655.0,12746.0
강화 야금술 : 업화 [19-20],200.0,125,129,175,260,245,220,232,148,124,256,251,186,274,338,144.0,148.0,208.0,205.0,230.0,279.0,272.0,163.0,179.0,294.0,231.0,226.0,278.0,172.0,157.0,134.0,280.0,212,106.0,296.0,235.0,81.0,95.0,259.0,139.0,161.0,211,189.0,102.0,118.0,148.0,96.0,137.0,208.0,273.0,69.0,76.0,126,195.0,70.0,189.0,159.0,101.0,25.0,120.0,148.0,56.0,138.0,69.0,78.0,77.0,130.0,74.0,54.0,80.0,79.0,56.0,90.0,74.0,102.0,53.0,56.0,49.0,75.0,36.0,47.0,78.0,84.0,29.0,36.0,56.0,59,70.0,56,51,57,28.0,52.0,25,60.0,8.0,35,14.0,35,42,37.0,78.0,11.0,2.0,17.0,20.0,25.0,55.0,48.0,18.0,33.0,19.0,9,5,9,24.0,0.0,44.0,27.0,13.0,16.0,6.0,282.0,413.0,291.0,330.0,355.0,127.0,167.0,343.0,280.0,245.0,184.0,229.0,108.0,212.0,945.0,702.0,363.0,413.0,329.0,276.0,318.0,324.0,309.0,295.0,234.0,126.0,130.0,67.0,127.0,94.0,103.0,102.0,68.0,24.0,49.0,64.0,29.0,49.0,78.0,33.0,49.0,40.0,33.0,8.0,8.0,39.0,20.0,20.0,31.0,31.0,11.0,37.0,43.0,13.0,40.0,16.0,30.0,10.0,29.0,3.0,8.0,4.0,13.0,85.0,6.0,4.0,43.0,9.0,21.0,8.0,19.0,41.0,27.0,16.0,20.0,1.0
강화 재봉술 : 업화 [19-20],889.0,542,511,667,845,1287,1151,935,895,802,861,1080,1170,1221,1365,1000.0,676.0,1167.0,1059.0,923.0,1436.0,1267.0,914.0,500.0,1368.0,1166.0,1132.0,1354.0,1103.0,807.0,796.0,1113.0,958,915.0,1088.0,1046.0,870.0,697.0,918.0,769.0,800.0,1271,759.0,737.0,575.0,846.0,861.0,762.0,862.0,1360.0,347.0,529.0,890,724.0,865.0,828.0,921.0,471.0,597.0,876.0,616.0,450.0,937.0,673.0,550.0,466.0,838.0,606.0,816.0,478.0,641.0,479.0,412.0,663.0,348.0,540.0,615.0,507.0,591.0,337.0,443.0,595.0,413.0,347.0,393.0,306.0,426,492.0,277,246,155,201.0,241.0,142,268.0,195.0,168,147.0,246,260,220.0,283.0,193.0,172.0,225.0,185.0,73.0,90.0,180.0,168.0,112.0,19.0,62,81,148,88.0,68.0,74.0,92.0,154.0,175.0,58.0,2346.0,2757.0,2601.0,2082.0,1741.0,1472.0,878.0,2166.0,1693.0,1300.0,1172.0,1373.0,926.0,881.0,7603.0,4812.0,2805.0,2920.0,2794.0,2188.0,1238.0,2641.0,2264.0,1871.0,1562.0,1339.0,1217.0,726.0,1694.0,965.0,606.0,718.0,478.0,478.0,405.0,433.0,444.0,406.0,313.0,286.0,108.0,189.0,295.0,121.0,81.0,259.0,217.0,184.0,85.0,122.0,123.0,156.0,140.0,236.0,175.0,78.0,120.0,96.0,142.0,123.0,73.0,173.0,38.0,194.0,91.0,172.0,98.0,114.0,94.0,112.0,76.0,94.0,100.0,61.0,160.0,1.0
견습생용 제작 키트,4.0,2,9,3,2,4,1,1,9,1,0,0,3,82,66,1.0,7.0,3.0,6.0,1.0,3.0,306.0,31.0,4.0,6.0,1.0,7.0,32.0,11.0,5.0,102.0,1.0,3,11.0,0.0,3.0,441.0,192.0,2.0,429.0,105.0,0,16.0,0.0,0.0,2.0,2.0,3.0,14.0,21.0,1.0,0.0,0,3.0,25.0,15.0,248.0,0.0,24.0,15.0,5.0,1.0,5.0,1.0,2.0,43.0,1.0,41.0,4.0,2.0,19.0,7.0,1.0,1.0,0.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.0,204,132,104,6.0,0.0,2,1.0,0.0,5,562.0,2,1,3.0,8.0,1.0,3.0,1.0,2.0,247.0,12.0,7.0,1.0,2.0,1.0,161,6,1,1.0,1.0,2.0,0.0,6.0,0.0,0.0,2.0,6.0,9.0,14.0,40.0,8.0,5.0,8.0,7.0,8.0,5.0,5.0,3.0,5.0,4.0,2.0,4.0,2.0,76.0,15.0,7.0,13.0,202.0,7.0,0.0,7.0,129.0,18.0,19.0,2.0,6.0,273.0,10.0,222.0,4.0,0.0,11.0,2.0,1.0,8.0,2.0,0.0,0.0,3.0,11.0,1.0,155.0,12.0,13.0,18.0,1.0,4.0,1.0,26.0,8.0,1.0,6.0,2.0,7.0,6.0,4.0,0.0,5.0,1.0,0.0,17.0,137.0,3.0,0.0,5.0,0.0,5.0,5.0,102.0,11.0,218.0
고고학의 결정,879.0,108,150,103,0,0,57,325,109,242,129,5,149,166,292,468.0,150.0,290.0,107.0,34.0,35.0,308.0,26.0,377.0,41.0,0.0,0.0,1.0,7.0,111.0,378.0,160.0,0,0.0,14.0,218.0,282.0,252.0,225.0,26.0,118.0,0,0.0,1.0,0.0,0.0,0.0,216.0,0.0,54.0,307.0,40.0,7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,36.0,122.0,364.0,0.0,26.0,0.0,70.0,10.0,321.0,454.0,92.0,0.0,43.0,0.0,0.0,318.0,30.0,0.0,0.0,0.0,23.0,178.0,135.0,0.0,0,0.0,0,0,0,106.0,447.0,112,97.0,45.0,0,1.0,1,0,25.0,0.0,0.0,6.0,88.0,297.0,63.0,179.0,499.0,0.0,10.0,17.0,0,10,99,2.0,0.0,43.0,0.0,206.0,30.0,0.0,336.0,1.0,51.0,92.0,130.0,208.0,94.0,27.0,92.0,1.0,63.0,269.0,40.0,72.0,60.0,15.0,126.0,0.0,238.0,53.0,13.0,57.0,6.0,0.0,56.0,1.0,0.0,0.0,158.0,14.0,0.0,44.0,399.0,140.0,9.0,27.0,181.0,0.0,10.0,180.0,237.0,263.0,0.0,39.0,207.0,0.0,305.0,277.0,0.0,182.0,81.0,470.0,158.0,0.0,75.0,385.0,56.0,100.0,0.0,9.0,55.0,0.0,1.0,0.0,1.0,0.0,1.0,220.0,0.0,0.0,90.0,0.0,6.0,19.0,633.0,0.0
고급 회복약,3130.0,461,798,2806,3646,2794,2948,2426,1414,1369,3709,2711,3413,2358,2129,2563.0,1089.0,2321.0,2388.0,2124.0,1994.0,1777.0,2033.0,1995.0,6086.0,6865.0,3309.0,5996.0,5060.0,1809.0,3574.0,5522.0,5096,6227.0,5271.0,5475.0,5551.0,1917.0,5521.0,5200.0,3639.0,3749,4501.0,607.0,1185.0,3380.0,3267.0,2776.0,5272.0,3427.0,1217.0,1419.0,2209,3164.0,2322.0,3678.0,2543.0,2069.0,1182.0,4170.0,2839.0,2994.0,3188.0,3016.0,2559.0,1605.0,2903.0,3509.0,1697.0,1559.0,5484.0,1915.0,1973.0,1488.0,2756.0,2581.0,1847.0,2073.0,1312.0,3817.0,3043.0,1781.0,2358.0,2313.0,1794.0,1395.0,1419,2677.0,3751,2472,2207,3817.0,3671.0,1233,4300.0,2802.0,2358,2797.0,4169,2201,644.0,4523.0,3120.0,4339.0,2074.0,2508.0,2424.0,1822.0,4247.0,3069.0,3770.0,3243.0,3340,1296,1793,4300.0,5179.0,2765.0,3081.0,3325.0,1937.0,5304.0,1856.0,1470.0,2193.0,2464.0,2270.0,1126.0,4619.0,1175.0,1146.0,2216.0,592.0,1184.0,3844.0,724.0,1200.0,2118.0,2076.0,448.0,1616.0,2426.0,1256.0,1333.0,2499.0,1094.0,2775.0,6716.0,1659.0,428.0,2288.0,1576.0,1497.0,730.0,3348.0,32.0,2110.0,1266.0,2209.0,2260.0,1803.0,1899.0,1913.0,325.0,2714.0,1714.0,2865.0,4063.0,2215.0,2356.0,1787.0,3069.0,2150.0,1279.0,3463.0,1624.0,640.0,1540.0,2310.0,878.0,384.0,1368.0,1225.0,1642.0,4182.0,1370.0,2485.0,2136.0,1648.0,670.0,622.0,480.0,4331.0,3420.0,1053.0,2197.0,2460.0,540.0
고대 유물,167757.0,119340,121215,105774,149060,118456,112895,125611,145579,115547,99935,112690,145534,147842,145191,133340.0,152213.0,113861.0,139707.0,130496.0,150549.0,158680.0,120115.0,132012.0,121925.0,123583.0,129043.0,125812.0,136843.0,119128.0,113438.0,81854.0,97454,93396.0,114726.0,122713.0,99108.0,102342.0,96576.0,105403.0,101723.0,101276,117534.0,101837.0,116631.0,83961.0,116718.0,111178.0,135823.0,122492.0,125028.0,123825.0,89853,98425.0,117635.0,117077.0,139527.0,121872.0,134797.0,105890.0,118094.0,121489.0,127210.0,143320.0,129646.0,107469.0,90793.0,99270.0,102268.0,113384.0,124852.0,111425.0,147479.0,79468.0,93584.0,99172.0,107093.0,107093.0,92859.0,89959.0,79914.0,86423.0,115949.0,113709.0,104933.0,94937.0,98885,91102.0,89291,91504,150650,100929.0,96289.0,88067,99371.0,117142.0,118956,110791.0,111427,98739,103359.0,104749.0,87825.0,85445.0,82844.0,82267.0,88908.0,69711.0,69556.0,72216.0,60710.0,78699.0,97813,71955,76433,77824.0,87000.0,75781.0,99633.0,93423.0,102747.0,94599.0,73830.0,158930.0,148030.0,118835.0,106804.0,101188.0,115633.0,83022.0,104845.0,106973.0,120867.0,142896.0,103102.0,106461.0,111480.0,103125.0,103894.0,113616.0,119388.0,104931.0,102092.0,93982.0,112560.0,95452.0,107940.0,119312.0,88188.0,99444.0,75764.0,94474.0,98857.0,102194.0,136873.0,100863.0,97243.0,93316.0,102540.0,90512.0,102521.0,126112.0,109514.0,107335.0,83652.0,112674.0,110116.0,122501.0,151476.0,109199.0,134941.0,99140.0,102829.0,105476.0,114048.0,141981.0,118225.0,115610.0,88656.0,112234.0,85266.0,111964.0,125161.0,84932.0,103724.0,105872.0,97111.0,83261.0,106643.0,111653.0,102922.0,83092.0,79845.0,105248.0,96152.0,104152.0,125790.0,29803.0
낚시의 결정,559.0,292,302,58,131,229,324,284,87,0,113,232,0,37,119,226.0,96.0,0.0,308.0,30.0,208.0,313.0,187.0,282.0,501.0,83.0,0.0,0.0,0.0,0.0,85.0,2.0,0,15.0,207.0,556.0,85.0,258.0,17.0,0.0,0.0,3,260.0,82.0,96.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,159.0,24.0,141.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,177.0,241.0,155.0,34.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,36,409.0,0,0,159,0.0,0.0,0,249.0,154.0,3,1.0,0,0,0.0,88.0,149.0,249.0,1.0,45.0,0.0,42.0,223.0,0.0,0.0,0.0,0,10,1,0.0,86.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,1.0,0.0,0.0,235.0,0.0,100.0,21.0,56.0,402.0,7.0,635.0,400.0,105.0,0.0,112.0,89.0,29.0,43.0,0.0,285.0,0.0,999.0,1.0,0.0,0.0,40.0,0.0,0.0,0.0,30.0,0.0,4.0,26.0,54.0,298.0,303.0,1.0,0.0,0.0,0.0,111.0,3.0,39.0,0.0,163.0,61.0,82.0,21.0,3.0,193.0,0.0,20.0,0.0,3.0,820.0,0.0,2.0,61.0,0.0,0.0,0.0,0.0,0.0,50.0,71.0,37.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0
냉기 수류탄,0.0,0,0,10,0,0,0,0,213,51,0,0,0,0,0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884.0,0,0.0,0.0,0.0,0.0,136.0,0.0,116.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,14.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,1,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,17.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,19.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,92.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,3.0,5.0,0.0,613.0,320.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,81.0,0.0,0.0,0.0,0.0,837.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,264.0,19.0,44.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,
다듬은 생고기,12503.0,10668,9336,8716,7137,8220,12033,8292,11648,8597,8990,9623,19088,18903,12074,12379.0,12834.0,13979.0,10890.0,12048.0,16753.0,16632.0,15556.0,13991.0,16628.0,12913.0,13113.0,12069.0,16970.0,13533.0,12903.0,10492.0,12143,8260.0,11259.0,13649.0,11076.0,9783.0,11334.0,8766.0,8643.0,11336,13161.0,10958.0,10435.0,10977.0,11907.0,9286.0,11476.0,12674.0,11579.0,14646.0,8507,8849.0,9492.0,11129.0,18162.0,11524.0,10172.0,14218.0,13477.0,10384.0,13300.0,13991.0,9519.0,14654.0,10053.0,9630.0,11531.0,10920.0,12831.0,11898.0,11544.0,9527.0,12571.0,8967.0,8987.0,9987.0,9886.0,8177.0,8272.0,9295.0,7357.0,9413.0,10281.0,4472.0,6515,12801.0,10085,16997,12868,12012.0,19482.0,9127,11544.0,11712.0,10340,12499.0,13409,9503,11004.0,10989.0,12162.0,6815.0,13273.0,9823.0,7855.0,11329.0,8761.0,7640.0,6479.0,8476.0,12540,7470,6748,6943.0,5016.0,8967.0,5607.0,7694.0,7527.0,7351.0,12530.0,6480.0,9130.0,7872.0,9941.0,11453.0,8149.0,7323.0,10583.0,9535.0,10370.0,10729.0,8818.0,9273.0,7982.0,9282.0,15163.0,8805.0,9749.0,10792.0,7632.0,8254.0,8915.0,9387.0,10742.0,10058.0,7298.0,7216.0,10147.0,6269.0,7411.0,11102.0,12601.0,8610.0,11463.0,11844.0,12284.0,11821.0,11510.0,11006.0,9685.0,12059.0,16628.0,12051.0,9692.0,14783.0,17380.0,8472.0,8907.0,9863.0,11188.0,11125.0,11746.0,11415.0,11158.0,10492.0,10186.0,7713.0,8771.0,10992.0,14004.0,9331.0,10267.0,9934.0,6377.0,7430.0,10749.0,9883.0,7194.0,9712.0,9801.0,7585.0,8851.0,9073.0,8879.0,1774.0
